Ideology_1,Ideology_2,Ideology_3
Confidence in Armed Forces (Support),Confidence in Parliament (Oppose),Divorce – justifiable? (Support)
Prostitution – justifiable? (Oppose),Confidence in Civil Services (Oppose),Euthanasia – justifiable? (Support)
Confidence in the Police (Support),Confidence in Justice System (Oppose),Homosexuality – justifiable? (Support)
Confidence in Justice System (Support),Confidence in the Press (Oppose),Homosexuals as neighbors (Oppose)
Suicide – justifiable? (Oppose),Confidence in Labour Unions (Oppose),Different race as neighbors (Oppose)
National pride (Support),Confidence in the Police (Oppose),Abortion – justifiable? (Support)
Confidence in Civil Services (Support),Confidence in Major Companies (Oppose),People with AIDS as neighbors (Oppose)
Someone accepting a bribe – justifiable? (Oppose),Someone accepting a bribe – justifiable? (Oppose),Immigrants foreign workers as neighbors (Oppose)
Cheating on taxes – justifiable? (Oppose),Suicide – justifiable? (Oppose),Drug addicts as neighbors (Support)
Confidence in the Church (Support),Prostitution – justifiable? (Oppose),Confidence in the Police (Support)
