K=1,K=2,K=3,K=4,K=5,K=6,K=7,K=8,K=9,K=10
0.058708130244886324,0.1560135532581357,0.22139298440621938,0.16127528118031864,0.16334672548786833,0.13702576957030432,0.13343760494164175,0.16040749969859278,0.16056853840457078,0.15290452842138974
0.057392237758951005,0.1560335612427859,0.21214971255865175,0.19513451179582975,0.17732429745771655,0.20509167819146298,0.15411418303221294,0.1583307185388295,0.14985177285616313,0.15826724166727363
0.065114407546682,0.15526065074320872,0.21948430734808758,0.19038697449838068,0.17068762478194377,0.15590357879880906,0.13788910577889749,0.1474359146025462,0.1663736070180924,0.13379725317694574
0.055993182981436615,0.15706574116405025,0.22386046111174387,0.11249808563305749,0.16850597706979392,0.15616706785439818,0.14747549234127993,0.14065317906564373,0.12354705285706322,0.1436746740364149
0.06667166067843755,0.15851603366280687,0.21010718331700629,0.1958735445984905,0.17001313157367604,0.1379016180633439,0.14797185349489536,0.1594296133536556,0.143898585167252,0.1524942299972694
0.06114870106856486,0.1525196570606276,0.2148400291377102,0.1877721678092348,0.17203128324377062,0.193814217267943,0.16912295956383042,0.14751841759319514,0.1613275026933956,0.14820314392731854
0.06563912393053237,0.158085332720031,0.21936127238527972,0.19539009892557496,0.16942181004038265,0.13686483255931456,0.16047750590924095,0.16015882326958794,0.1517730136802546,0.152226812978612
0.06216868870536302,0.1623247217868129,0.21161819984934108,0.1818710154636587,0.17202643615081287,0.1455461461423738,0.17371377278500827,0.13648413578915375,0.1297973933114658,0.1717861554437401
0.06161700860796543,0.16144990247023377,0.22443245120632827,0.13335011032961383,0.15577805271158596,0.15923947850436707,0.18787903758917693,0.14933057403463423,0.13728829911511786,0.14431840961404968
0.06260199867332475,0.15609086991686816,0.22750092339107475,0.19077507850449552,0.1766585489820101,0.19555717757729063,0.14413425730231313,0.13854330968490902,0.13546474456437715,0.14635183530384016
