Ideology_1,Ideology_2,Ideology_3,Ideology_4
Immigrants foreign workers as neighbors (Oppose),Confidence in Parliament (Oppose),Euthanasia – justifiable? (Support),People with AIDS as neighbors (Support)
Suicide – justifiable? (Oppose),Confidence in Civil Services (Oppose),Divorce – justifiable? (Support),Homosexuals as neighbors (Support)
Cheating on taxes – justifiable? (Oppose),Confidence in Labour Unions (Oppose),Homosexuality – justifiable? (Support),Homosexuality – justifiable? (Oppose)
Someone accepting a bribe – justifiable? (Oppose),Confidence in Justice System (Oppose),Abortion – justifiable? (Support),Drug addicts as neighbors (Support)
Different race as neighbors (Oppose),Confidence in the Press (Oppose),Different race as neighbors (Oppose),Immigrants foreign workers as neighbors (Support)
Avoiding a fare on public transport – justifiable? (Oppose),Confidence in the Police (Oppose),Immigrants foreign workers as neighbors (Oppose),Prostitution – justifiable? (Oppose)
Prostitution – justifiable? (Oppose),Confidence in Major Companies (Oppose),Homosexuals as neighbors (Oppose),National pride (Support)
Justifiable: Claiming government benefits to which you are not entitled (Oppose),Someone accepting a bribe – justifiable? (Oppose),People with AIDS as neighbors (Oppose),Confidence in Armed Forces (Support)
National pride (Support),Suicide – justifiable? (Oppose),National pride (Support),Preference for native workers in job scarcity (Support)
Abortion – justifiable? (Oppose),Different race as neighbors (Oppose),Drug addicts as neighbors (Support),Abortion – justifiable? (Oppose)
