Ideology_1,Ideology_2,Ideology_3,Ideology_4
Confidence in Parliament (Oppose),Confidence in Armed Forces (Oppose),Divorce – justifiable? (Support),Confidence in Justice System (Support)
Someone accepting a bribe – justifiable? (Oppose),Confidence in Justice System (Oppose),Homosexuals as neighbors (Oppose),Confidence in Civil Services (Support)
Prostitution – justifiable? (Oppose),Confidence in the Police (Oppose),Confidence in the Police (Support),Confidence in the Police (Support)
Suicide – justifiable? (Oppose),Divorce – justifiable? (Support),Different race as neighbors (Oppose),Confidence in Armed Forces (Support)
Cheating on taxes – justifiable? (Oppose),Confidence in Parliament (Oppose),Homosexuality – justifiable? (Support),Prostitution – justifiable? (Oppose)
Euthanasia – justifiable? (Oppose),Confidence in Civil Services (Oppose),People with AIDS as neighbors (Oppose),Euthanasia – justifiable? (Oppose)
Avoiding a fare on public transport – justifiable? (Oppose),Confidence in the Press (Oppose),Immigrants foreign workers as neighbors (Oppose),Suicide – justifiable? (Oppose)
Abortion – justifiable? (Oppose),Avoiding a fare on public transport – justifiable? (Support),Confidence in Justice System (Support),National pride (Support)
Justifiable: Claiming government benefits to which you are not entitled (Oppose),Confidence in Labour Unions (Oppose),Abortion – justifiable? (Support),Abortion – justifiable? (Oppose)
Confidence in Labour Unions (Oppose),Different race as neighbors (Oppose),National pride (Support),Confidence in the Press (Support)
