Ideology_1,Ideology_2,Ideology_3,Ideology_4,Ideology_5
Confidence in Civil Services (Support),Divorce – justifiable? (Support),Homosexuals as neighbors (Support),Avoiding a fare on public transport – justifiable? (Support),Confidence in Parliament (Oppose)
Confidence in Justice System (Support),Euthanasia – justifiable? (Support),People with AIDS as neighbors (Support),Justifiable: Claiming government benefits to which you are not entitled (Support),Confidence in Justice System (Oppose)
Confidence in Labour Unions (Support),Homosexuality – justifiable? (Support),Homosexuality – justifiable? (Oppose),Cheating on taxes – justifiable? (Support),Confidence in Civil Services (Oppose)
Confidence in the Police (Support),Homosexuals as neighbors (Oppose),Drug addicts as neighbors (Support),Divorce – justifiable? (Support),Confidence in the Police (Oppose)
Confidence in Parliament (Support),Someone accepting a bribe – justifiable? (Oppose),Prostitution – justifiable? (Oppose),Euthanasia – justifiable? (Support),Confidence in the Press (Oppose)
Confidence in Armed Forces (Support),Different race as neighbors (Oppose),Preference for native workers in job scarcity (Support),Abortion – justifiable? (Support),Different race as neighbors (Oppose)
Confidence in Major Companies (Support),Justifiable: Claiming government benefits to which you are not entitled (Oppose),National pride (Support),Homosexuality – justifiable? (Support),Immigrants foreign workers as neighbors (Oppose)
Confidence in the Press (Support),Confidence in the Police (Support),Suicide – justifiable? (Oppose),Prostitution – justifiable? (Support),Confidence in Labour Unions (Oppose)
Confidence in the Church (Support),Cheating on taxes – justifiable? (Oppose),Someone accepting a bribe – justifiable? (Oppose),Suicide – justifiable? (Support),Someone accepting a bribe – justifiable? (Oppose)
Different race as neighbors (Oppose),Immigrants foreign workers as neighbors (Oppose),Immigrants foreign workers as neighbors (Support),Someone accepting a bribe – justifiable? (Support),Suicide – justifiable? (Oppose)
