Ideology_1,Ideology_2,Ideology_3,Ideology_4,Ideology_5
Justifiable: Claiming government benefits to which you are not entitled (Support),Confidence in Civil Services (Support),Homosexuals as neighbors (Support),Euthanasia – justifiable? (Support),Confidence in Parliament (Oppose)
Avoiding a fare on public transport – justifiable? (Support),Confidence in Justice System (Support),People with AIDS as neighbors (Support),Divorce – justifiable? (Support),Confidence in the Police (Oppose)
Cheating on taxes – justifiable? (Support),Confidence in the Police (Support),Homosexuality – justifiable? (Oppose),Homosexuality – justifiable? (Support),Confidence in Justice System (Oppose)
Someone accepting a bribe – justifiable? (Support),Confidence in Parliament (Support),Prostitution – justifiable? (Oppose),Abortion – justifiable? (Support),Confidence in Civil Services (Oppose)
Confidence in the Church (Support),Confidence in Armed Forces (Support),Drug addicts as neighbors (Support),Different race as neighbors (Oppose),Different race as neighbors (Oppose)
National pride (Support),Confidence in Major Companies (Support),Suicide – justifiable? (Oppose),Homosexuals as neighbors (Oppose),Confidence in Labour Unions (Oppose)
Preference for native workers in job scarcity (Support),Confidence in the Press (Support),Someone accepting a bribe – justifiable? (Oppose),Immigrants foreign workers as neighbors (Oppose),Confidence in the Press (Oppose)
Euthanasia – justifiable? (Support),National pride (Support),Abortion – justifiable? (Oppose),People with AIDS as neighbors (Oppose),Suicide – justifiable? (Oppose)
Confidence in Armed Forces (Support),Suicide – justifiable? (Oppose),Cheating on taxes – justifiable? (Oppose),Confidence in Parliament (Oppose),Immigrants foreign workers as neighbors (Oppose)
Drug addicts as neighbors (Support),Someone accepting a bribe – justifiable? (Oppose),Avoiding a fare on public transport – justifiable? (Oppose),Someone accepting a bribe – justifiable? (Oppose),Someone accepting a bribe – justifiable? (Oppose)
