Ideology_1,Ideology_2,Ideology_3,Ideology_4,Ideology_5
People with AIDS as neighbors (Oppose),Confidence in Civil Services (Support),Immigrants foreign workers as neighbors (Support),Divorce – justifiable? (Support),Confidence in Parliament (Oppose)
Homosexuals as neighbors (Oppose),Drug addicts as neighbors (Support),People with AIDS as neighbors (Support),Euthanasia – justifiable? (Support),Confidence in the Police (Oppose)
National pride (Support),Homosexuals as neighbors (Support),Different race as neighbors (Support),Abortion – justifiable? (Support),Different race as neighbors (Oppose)
Confidence in Armed Forces (Support),People with AIDS as neighbors (Support),Homosexuality – justifiable? (Oppose),Homosexuality – justifiable? (Support),Immigrants foreign workers as neighbors (Oppose)
Suicide – justifiable? (Oppose),Confidence in the Police (Support),Prostitution – justifiable? (Oppose),Different race as neighbors (Oppose),Confidence in Civil Services (Oppose)
Someone accepting a bribe – justifiable? (Oppose),Prostitution – justifiable? (Oppose),Homosexuals as neighbors (Support),Homosexuals as neighbors (Oppose),Suicide – justifiable? (Oppose)
Cheating on taxes – justifiable? (Oppose),Homosexuality – justifiable? (Oppose),Suicide – justifiable? (Oppose),Immigrants foreign workers as neighbors (Oppose),Confidence in Labour Unions (Oppose)
Prostitution – justifiable? (Oppose),Confidence in Armed Forces (Support),Drug addicts as neighbors (Support),People with AIDS as neighbors (Oppose),Someone accepting a bribe – justifiable? (Oppose)
Avoiding a fare on public transport – justifiable? (Oppose),Someone accepting a bribe – justifiable? (Oppose),Someone accepting a bribe – justifiable? (Oppose),Confidence in Parliament (Oppose),Confidence in the Press (Oppose)
Different race as neighbors (Oppose),Suicide – justifiable? (Oppose),Competition is good vs. Competition is harmful (Oppose),Confidence in the Church (Oppose),Prostitution – justifiable? (Oppose)
